,ProductBacklog,Sprint,ScrumTeam,SprintBacklog,Increment,DailyScrum
BusinessCase,0.183,0.118,0.14,0.159,0.146,0.145
ProjectBoard,0.163,0.155,0.139,0.149,0.155,0.193
ProjectPlan,0.159,0.155,0.122,0.144,0.155,0.194
StagePlan,0.153,0.155,0.119,0.144,0.143,0.169
WorkPackage,0.307,0.133,0.129,0.186,0.146,0.171
EndStageReport,0.144,0.159,0.127,0.148,0.151,0.19
